"borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"387",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4899,25,NA,"C0","1229 EAST 224TH STREET                   ","            ",10466,3,0,3,2984,3231,2006,1,"C0","$ 299,000","2015-12-03",299000,3231,2984,0
"389",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4903,58,NA,"C0","1118 E 225TH ST                          ","            ",10466,3,0,3,2300,3400,1988,1,"C0","$ 630,000","2015-12-31",630000,3400,2300,0
"390",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4903,59,NA,"C0","1120 EAST 225 STREET                     ","            ",10466,3,0,3,2300,3400,1988,1,"C0","$ 240,000","2015-06-12",240000,3400,2300,0
"391",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4939,22,NA,"C0","3849 AMUNDSON AVENUE                     ","            ",10466,3,0,3,2500,2539,1910,1,"C0","$ 295,930","2015-11-24",295930,2539,2500,0
"392",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4959,19,NA,"C0","3944 HILL AVENUE                         ","            ",10466,3,0,3,4750,3803,1910,1,"C0","$ 287,000","2015-09-25",287000,3803,4750,0
"393",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4981,99,NA,"C0","4000 EDSON AVENUE                        ","            ",10466,3,0,3,1550,2760,1965,1,"C0","$ 464,000","2016-02-17",464000,2760,1550,0
"394",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4981,101,NA,"C0","4004 EDSON AVENUE                        ","            ",10466,3,0,3,1888,2760,1965,1,"C0","$ 465,000","2015-09-01",465000,2760,1888,0
"395",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4982,50,NA,"C0","4085 DEREIMER AVENUE                     ","            ",10466,3,0,3,2375,3232,1960,1,"C0","$ 550,000","2015-11-03",550000,3232,2375,0
"396",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",4984,14,NA,"C0","4036 WILDER AVENUE                       ","            ",10466,3,0,3,2375,2700,1993,1,"C0","$ 477,000","2015-11-12",477000,2700,2375,0
"398",2,"BAYCHESTER               ","03  THREE FAMILY DWELLINGS                  ","1",5260,48,NA,"C0","3450 BOLLER AVENUE                       ","            ",10475,3,0,3,5160,3432,1989,1,"C0","$ 585,000","2015-08-31",585000,3432,5160,0
"444",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3280,25,NA,"A1","2974 DECATUR AVENUE                      ","            ",10458,1,0,1,6000,2357,1901,1,"A1","$ 475,000","2016-01-14",475000,2357,6000,0
"448",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3283,90,NA,"A1","2767 DECATUR AVENUE                      ","            ",10458,1,0,1,2156,1622,1930,1,"A1","$ 240,000","2016-04-14",240000,1622,2156,0
"450",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3288,18,NA,"A1","2756 BAINBRIDGE AVENUE                   ","            ",10458,1,0,1,2970,1588,1910,1,"A1","$ 372,500","2015-11-12",372500,1588,2970,0
"451",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3289,73,NA,"A1","2789 MARION AVENUE                       ","            ",10458,1,0,1,2056,1551,1910,1,"A1","$ 210,000","2016-02-09",210000,1551,2056,0
"452",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3294,73,NA,"A1","2653 BAINBRIDGE AVENUE                   ","            ",10458,1,0,1,1892,2022,1915,1,"A1","$ 187,000","2015-10-09",187000,2022,1892,0
"453",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3296,75,NA,"A5","2864 BRIGGS AVENUE                       ","            ",10458,1,0,1,1650,1040,1901,1,"A5","$ 188,000","2015-11-16",188000,1040,1650,0
"455",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3302,67,NA,"A1","2851 BRIGGS AVENUE                       ","            ",10458,1,0,1,2500,936,1925,1,"A1","$ 150,000","2015-06-26",150000,936,2500,0
"456",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3303,38,NA,"A9","2963 BRIGGS AVENUE                       ","            ",10458,1,0,1,5500,2232,1901,1,"A9","$ 377,701","2015-12-11",377701,2232,5500,0
"457",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3306,31,NA,"A1","232 EAST 201 STREET                      ","            ",10458,1,0,1,2000,1801,1901,1,"A1","$ 470,000","2015-05-14",470000,1801,2000,0
"458",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3306,31,NA,"A1","232 EAST 201 STREET                      ","            ",10458,1,0,1,2000,1801,1901,1,"A1","$ 180,000","2015-05-14",180000,1801,2000,0
"459",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3311,37,NA,"A1","3180 VILLA AVENUE                        ","            ",10468,1,0,1,3064,932,1910,1,"A1","$ 320,000","2015-05-27",320000,932,3064,0
"460",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3311,127,NA,"S1","127 LISBON PLACE                         ","            ",10458,1,1,2,6875,6592,1920,1,"S1","$ 720,000","2015-06-08",720000,6592,6875,0
"462",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3319,56,NA,"A1","10 MINERVA PLACE                         ","            ",10468,1,0,1,3826,2279,1910,1,"A1","$ 2,000,000","2015-07-30",2e+06,2279,3826,0
"463",2,"BEDFORD PARK/NORWOOD     ","01  ONE FAMILY DWELLINGS                    ","1",3349,37,NA,"A1","3147 DECATUR AVENUE                      ","            ",10467,1,0,1,2500,1948,1915,1,"A1","$ 400,000","2015-10-15",4e+05,1948,2500,0
"464",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3277,6,NA,"B2","2634 DECATUR AVENUE                      ","            ",10458,2,0,2,2500,3348,1915,1,"B2","$ 349,000","2015-11-12",349000,3348,2500,0
"465",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3282,60,NA,"B3","369 EAST 194 STREET                      ","            ",10458,2,0,2,1600,1456,1920,1,"B3","$ 388,500","2015-10-14",388500,1456,1600,0
"466",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3284,11,NA,"B3","2825 DECATUR AVENUE                      ","            ",10458,2,0,2,1875,2064,1910,1,"B3","$ 360,000","2016-03-18",360000,2064,1875,0
"467",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3287,39,NA,"B2","2704 BAINBRIDGE AVENUE                   ","            ",10458,2,0,2,2997,3017,1910,1,"B2","$ 229,320","2015-12-21",229320,3017,2997,0
"469",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3296,24,NA,"B2","2880 BRIGGS AVE                          ","            ",10458,2,0,2,3125,3503,1901,1,"B2","$ 300,000","2015-05-15",3e+05,3503,3125,0
"470",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3297,3,NA,"B2","271 EAST 199 STREET                      ","            ",10458,2,0,2,2500,2368,1901,1,"B2","$ 400,000","2015-11-16",4e+05,2368,2500,0
"471",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3297,38,NA,"B3","2932 VALENTINE AVENUE                    ","            ",10458,2,0,2,2000,2583,1899,1,"B3","$ 539,000","2015-08-25",539000,2583,2000,0
"473",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3298,42,NA,"B2","2973 BAINBRIDGE AVE                      ","            ",10458,2,0,2,2802,2984,1901,1,"B2","$ 440,000","2016-02-25",440000,2984,2802,0
"474",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3300,71,NA,"B1","2671 BRIGGS AVENUE                       ","            ",10458,2,0,2,1680,2114,1901,1,"B1","$ 415,000","2015-12-18",415000,2114,1680,0
"475",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3300,76,NA,"B2","26611/2 BRIGGS AVENUE                    ","            ",10458,2,0,2,1780,1642,1910,1,"B2","$ 499,999","2015-11-09",499999,1642,1780,0
"476",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3301,103,NA,"B3","2755 BRIGGS AVENUE                       ","            ",10458,2,0,2,1835,2548,1901,1,"B3","$ 396,000","2015-06-29",396000,2548,1835,0
"478",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3304,138,NA,"B9","2825 VALENTINE AVENUE                    ","            ",10458,2,0,2,1494,2964,1930,1,"B9","$ 480,000","2015-12-30",480000,2964,1494,0
"479",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3312,27,NA,"B1","206 EAST 206 STREET                      ","            ",10458,2,0,2,1791,2342,1910,1,"B1","$ 222,500","2015-12-23",222500,2342,1791,0
"480",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3318,131,NA,"B2","2815 CRESTON AVENUE                      ","            ",10468,2,0,2,2506,2568,1910,1,"B2","$ 375,000","2016-03-16",375000,2568,2506,0
"481",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3319,25,NA,"B2","19 EAST 198TH STREET                     ","            ",10468,2,0,2,4241,3198,1910,1,"B2","$ 466,000","2015-12-01",466000,3198,4241,0
"482",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3319,46,NA,"B2","2880 JEROME AVENUE                       ","            ",10468,2,0,2,6860,2805,1910,1,"B2","$ 1,800,000","2015-07-30",1800000,2805,6860,0
"483",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3319,63,NA,"B2","17 MINERVA PLACE                         ","            ",10468,2,0,2,3000,2664,1899,1,"B2","$ 302,925","2015-07-22",302925,2664,3000,0
"484",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3319,63,NA,"B2","17 MINERVA PLACE                         ","            ",10468,2,0,2,3000,2664,1899,1,"B2","$ 522,610","2015-05-11",522610,2664,3000,0
"485",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3321,65,NA,"B2","3053 VILLA AVENUE                        ","            ",10468,2,0,2,2500,1338,1910,1,"B2","$ 335,000","2015-09-28",335000,1338,2500,0
"486",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3321,65,NA,"B2","3053 VILLA AVENUE                        ","            ",10468,2,0,2,2500,1338,1910,1,"B2","$ 162,000","2015-05-28",162000,1338,2500,0
"487",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3324,49,NA,"B1","3432 GATES PLACE                         ","            ",10467,2,0,2,2500,2520,1920,1,"B1","$ 525,000","2015-06-01",525000,2520,2500,0
"488",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3324,103,NA,"B1","3406 KNOX PLACE                          ","            ",10467,2,0,2,2500,4040,1920,1,"B1","$ 300,000","2015-05-08",3e+05,4040,2500,0
"489",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3333,23,NA,"B2","3066 PERRY                               ","            ",10467,2,0,2,2750,2742,1915,1,"B2","$ 350,000","2016-02-11",350000,2742,2750,0
"490",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3333,23,NA,"B2","3066 PERRY AVENUE                        ","            ",10467,2,0,2,2750,2742,1915,1,"B2","$ 290,000","2015-11-17",290000,2742,2750,0
"491",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3343,133,NA,"B3","3309 PERRY AVENUE                        ","            ",10467,2,0,2,2117,1296,1901,1,"B3","$ 225,000","2016-03-25",225000,1296,2117,0
"498",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3353,11,NA,"B2","3132 DECATUR AVENUE                      ","            ",10467,2,0,2,2810,2490,1915,1,"B2","$ 535,000","2015-10-19",535000,2490,2810,0
"499",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3353,14,NA,"B2","3138 DECATUR AVENUE                      ","            ",10467,2,0,2,2810,2274,1915,1,"B2","$ 485,000","2016-03-07",485000,2274,2810,0
"501",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3355,9,NA,"B1","3254 DECATUR AVENUE                      ","            ",10467,2,0,2,2342,2048,1920,1,"B1","$ 480,000","2015-06-29",480000,2048,2342,0
"502",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3355,84,NA,"B2","3306 DECATUR                             ","            ",10467,2,0,2,2500,2532,1920,1,"B2","$ 420,000","2015-10-15",420000,2532,2500,0
"504",2,"BEDFORD PARK/NORWOOD     ","02  TWO FAMILY DWELLINGS                    ","1",3355,153,NA,"B2","3311 PARKSIDE PLACE                      ","            ",10467,2,0,2,2250,2592,1920,1,"B2","$ 465,000","2015-08-25",465000,2592,2250,0
"505",2,"BEDFORD PARK/NORWOOD     ","03  THREE FAMILY DWELLINGS                  ","1",3278,5,NA,"C0","2710 DECATUR AVENUE                      ","            ",10458,3,0,3,5000,3339,1915,1,"C0","$ 420,000","2015-06-08",420000,3339,5000,0
"507",2,"BEDFORD PARK/NORWOOD     ","03  THREE FAMILY DWELLINGS                  ","1",3288,8,NA,"C0","317 EAST 196TH STREET                    ","            ",10458,3,0,3,3614,1898,1915,1,"C0","$ 380,000","2015-05-15",380000,1898,3614,0
"508",2,"BEDFORD PARK/NORWOOD     ","03  THREE FAMILY DWELLINGS                  ","1",3296,63,NA,"C0","2847 BAINBRIDGE AVENUE                   ","            ",10458,3,0,3,3582,3699,1901,1,"C0","$ 525,000","2015-09-10",525000,3699,3582,0
"509",2,"BEDFORD PARK/NORWOOD     ","03  THREE FAMILY DWELLINGS                  ","1",3300,67,NA,"C0","2681 BRIGGS AVENUE                       ","            ",10458,3,0,3,2070,3195,1901,1,"C0","$ 272,766","2016-03-07",272766,3195,2070,0
"510",2,"BEDFORD PARK/NORWOOD     ","03  THREE FAMILY DWELLINGS                  ","1",3322,72,NA,"C0","3126 JEROME AVENUE                       ","            ",10468,3,0,3,1650,2400,1930,1,"C0","$ 271,100","2016-04-13",271100,2400,1650,0
"511",2,"BEDFORD PARK/NORWOOD     ","03  THREE FAMILY DWELLINGS                  ","1",3347,24,NA,"C0","3282 PERRY AVENUE                        ","            ",10467,3,0,3,4042,2544,1920,1,"C0","$ 480,000","2015-08-07",480000,2544,4042,0
"512",2,"BEDFORD PARK/NORWOOD     ","03  THREE FAMILY DWELLINGS                  ","1",3347,27,NA,"C0","3286 PERRY AVENUE                        ","            ",10467,3,0,3,3500,2868,1910,1,"C0","$ 495,000","2015-08-07",495000,2868,3500,0
"642",2,"BELMONT                  ","01  ONE FAMILY DWELLINGS                    ","1",3058,98,NA,"A5","2451 HOFFMAN STREET                      ","            ",10458,1,0,1,1606,1328,1901,1,"A5","$ 285,000","2015-08-18",285000,1328,1606,0
"643",2,"BELMONT                  ","01  ONE FAMILY DWELLINGS                    ","1",3077,53,NA,"A1","2461 HUGHES AVENUE                       ","            ",10458,1,0,1,2185,1428,1925,1,"A1","$ 412,500","2015-10-01",412500,1428,2185,0
"644",2,"BELMONT                  ","01  ONE FAMILY DWELLINGS                    ","1",3077,53,NA,"A1","2461 HUGHES AVENUE                       ","            ",10458,1,0,1,2185,1428,1925,1,"A1","$ 150,000","2015-07-23",150000,1428,2185,0
"646",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3054,29,NA,"B1","2383 HOFFMAN STREET                      ","            ",10458,2,0,2,2369,1152,1901,1,"B1","$ 185,000","2015-10-28",185000,1152,2369,0
"647",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3055,21,NA,"B3","2381 LORILLARD PLACE                     ","            ",10458,2,0,2,4500,1280,1920,1,"B3","$ 274,000","2015-12-22",274000,1280,4500,0
"648",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3056,5,NA,"B1","2410 LORILLARD PLACE                     ","            ",10458,2,0,2,2450,2372,1920,1,"B1","$ 450,000","2016-02-16",450000,2372,2450,0
"649",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3056,6,NA,"B1","2412 LORILLARD PLACE                     ","            ",10458,2,0,2,2450,2200,1901,1,"B1","$ 450,000","2016-02-16",450000,2200,2450,0
"650",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3057,32,NA,"B2","2419 BATHGATE AVENUE                     ","            ",10458,2,0,2,1900,3126,1901,1,"B2","$ 365,650","2016-01-26",365650,3126,1900,0
"651",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3058,76,NA,"B2","2448 LORILLARD PLACE                     ","            ",10458,2,0,2,2433,2256,1920,1,"B2","$ 320,000","2015-09-22",320000,2256,2433,0
"653",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3066,48,NA,"B2","2475 ARTHUR AVENUE                       ","            ",10458,2,0,2,2781,880,1931,1,"B2","$ 930,000","2016-04-19",930000,880,2781,0
"654",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3066,49,NA,"B3","2473 ARTHUR AVENUE                       ","            ",10458,2,0,2,2783,1840,1901,1,"B3","$ 695,000","2016-04-19",695000,1840,2783,0
"656",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3071,67,NA,"B1","637 EAST 182ND STREET                    ","            ",10457,2,0,2,2870,2400,1997,1,"B1","$ 382,000","2015-06-30",382000,2400,2870,0
"657",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3074,7,NA,"B2","2340 HUGHES AVE                          ","            ",10458,2,0,2,2185,1520,1899,1,"B2","$ 365,000","2016-01-12",365000,1520,2185,0
"658",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3074,13,NA,"S2","625 CRESCENT AVENUE                      ","            ",10458,2,1,3,803,1920,1909,1,"S2","$ 450,000","2016-01-07",450000,1920,803,0
"660",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3075,47,NA,"B2","2459 CAMBRELENG AVENUE                   ","            ",10458,2,0,2,2500,2610,1899,1,"B2","$ 400,000","2015-05-27",4e+05,2610,2500,0
"661",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3076,4,NA,"B2","2416 HUGHES AVE                          ","            ",10458,2,0,2,2156,2280,1899,1,"B2","$ 207,500","2015-09-22",207500,2280,2156,0
"663",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3076,80,NA,"B2","2461 BELMONT AVENUE                      ","            ",10458,2,0,2,1457,1752,1899,1,"B2","$ 385,000","2015-06-03",385000,1752,1457,0
"667",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3091,40,NA,"B2","2477 CAMBRELENG AVENUE                   ","            ",10458,2,0,2,1717,1404,1920,1,"B2","$ 400,000","2016-03-23",4e+05,1404,1717,0
"668",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3103,58,NA,"B3","2303 CROTONA AVENUE                      ","            ",10458,2,0,2,2000,1628,1910,1,"B3","$ 180,000","2016-02-18",180000,1628,2000,0
"669",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3112,35,NA,"B1","784 GARDEN STREET                        ","            ",10460,2,0,2,1680,1760,1901,1,"B1","$ 419,000","2016-02-10",419000,1760,1680,0
"671",2,"BELMONT                  ","02  TWO FAMILY DWELLINGS                    ","1",3114,51,NA,"B1","2354 PROSPECT AVENUE                     ","            ",10458,2,0,2,1754,3090,1901,1,"B1","$ 480,000","2015-10-28",480000,3090,1754,0
"672",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3054,4,NA,"C0","2348 LORILLARD PLACE                     ","            ",10458,3,0,3,2500,3048,1940,1,"C0","$ 325,000","2015-05-22",325000,3048,2500,0
"676",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3088,43,NA,"C0","2311 CAMBRELENG AVE                      ","            ",10458,3,0,3,2500,1788,1925,1,"C0","$ 235,000","2015-09-24",235000,1788,2500,0
"677",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3088,47,NA,"C0","2303 CAMBRELENG AVE                      ","            ",10458,3,0,3,1667,1730,1930,1,"C0","$ 440,000","2016-03-31",440000,1730,1667,0
"678",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3089,8,NA,"C0","2310 CAMBRELENG AVENUE                   ","            ",10458,3,0,3,1667,3531,1930,1,"C0","$ 514,000","2015-08-31",514000,3531,1667,0
"679",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3090,111,NA,"C0","2413 BEAUMONT                            ","            ",10458,3,0,3,1648,2209,2005,1,"C0","$ 589,000","2015-05-15",589000,2209,1648,0
"680",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3102,19,NA,"C0","2344 CROTONA AVENUE                      ","            ",10458,3,0,3,2000,3252,1910,1,"C0","$ 319,000","2016-01-21",319000,3252,2000,0
"681",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3102,60,NA,"C0","749 EAST 183RD STREET                    ","            ",10458,3,0,3,1725,3382,1930,1,"C0","$ 420,000","2016-04-05",420000,3382,1725,0
"682",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3103,61,NA,"C0","2297 CROTONA AVE                         ","            ",10458,3,0,3,1840,3387,2000,1,"C0","$ 300,000","2015-09-01",3e+05,3387,1840,0
"683",2,"BELMONT                  ","03  THREE FAMILY DWELLINGS                  ","1",3115,18,NA,"C0","2444 PROSPECT AVENUE                     ","            ",10458,3,0,3,1900,1888,1901,1,"C0","$ 314,035","2015-11-25",314035,1888,1900,0
"747",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4340,75,NA,"A1","2279 BARKER AVE                          ","            ",10467,1,0,1,4525,2029,1925,1,"A1","$ 680,000","2016-03-25",680000,2029,4525,0
"748",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4433,43,NA,"A2","2547 CRUGER AVENUE                       ","            ",10467,1,0,1,5000,2200,1910,1,"A2","$ 420,000","2015-05-14",420000,2200,5000,0
"749",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4518,20,NA,"A2","2730 PAULDING AVE                        ","            ",10469,1,0,1,2500,570,1925,1,"A2","$ 340,000","2015-12-10",340000,570,2500,0
"750",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4520,39,NA,"A2","2749 LACONIA AVENUE                      ","            ",10469,1,0,1,5000,1420,1920,1,"A2","$ 375,000","2015-12-08",375000,1420,5000,0
"752",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4527,128,NA,"A5","2758 BOUCK AVENUE                        ","            ",10469,1,0,1,1800,1620,1950,1,"A5","$ 333,000","2015-09-30",333000,1620,1800,0
"753",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4530,60,NA,"A5","2719 SEYMOUR AVENUE                      ","            ",10469,1,0,1,2550,992,1955,1,"A5","$ 340,000","2015-11-25",340000,992,2550,0
"755",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4533,35,NA,"A1","2758 FENTON                              ","            ",10469,1,0,1,3081,1368,1955,1,"A1","$ 397,500","2015-12-29",397500,1368,3081,0
"756",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4533,35,NA,"A1","2758 FENTON AVENUE                       ","            ",10469,1,0,1,3081,1368,1955,1,"A1","$ 292,032","2015-07-09",292032,1368,3081,0
"757",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4535,8,NA,"A1","1555 ALLERTON AVENUE                     ","            ",10469,1,0,1,1863,1024,1955,1,"A1","$ 350,000","2015-08-24",350000,1024,1863,0
"760",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4536,26,NA,"A1","2746 MICKLE AVE                          ","            ",10469,1,0,1,5469,966,1925,1,"A1","$ 389,000","2015-09-28",389000,966,5469,0
"761",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4543,12,NA,"A1","3022 BRONX PARK EAST                     ","            ",10467,1,0,1,1852,1140,1930,1,"A1","$ 239,500","2015-08-31",239500,1140,1852,0
"763",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4547,28,NA,"A5","3067 WILLIAMSBRIDGE ROAD                 ","            ",10467,1,0,1,650,864,1920,1,"A5","$ 381,188","2015-07-13",381188,864,650,0
"765",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4547,49,NA,"A1","2917 HOLLAND AVENUE                      ","            ",10467,1,0,1,2458,1496,1920,1,"A1","$ 247,000","2015-11-19",247000,1496,2458,0
"766",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4548,49,NA,"A5","2921 WALLACE AVENUE                      ","            ",10467,1,0,1,1800,2014,1950,1,"A5","$ 283,920","2015-09-22",283920,2014,1800,0
"767",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4548,55,NA,"A5","2909 WALLACE AVENUE                      ","            ",10467,1,0,1,2167,1539,1950,1,"A5","$ 360,000","2016-04-05",360000,1539,2167,0
"769",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4555,63,NA,"A1","2905 HONE AVENUE                         ","            ",10469,1,0,1,5200,1848,1945,1,"A1","$ 335,000","2015-09-29",335000,1848,5200,0
"770",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4557,27,NA,"A5","2940 LURTING AVENUE                      ","            ",10469,1,0,1,1950,1782,1950,1,"A5","$ 299,000","2016-02-19",299000,1782,1950,0
"772",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4559,32,NA,"A5","2944 YATES AVENUE                        ","            ",10469,1,0,1,1650,1728,1955,1,"A5","$ 310,000","2015-06-26",310000,1728,1650,0
"773",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4559,61,NA,"A5","2923 HERING                              ","            ",10469,1,0,1,1650,1632,1955,1,"A5","$ 205,000","2015-06-23",205000,1632,1650,0
"775",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4560,35,NA,"A5","1170 ADEE AVENUE                         ","            ",10469,1,0,1,1225,1440,1950,1,"A5","$ 255,000","2015-07-10",255000,1440,1225,0
"776",2,"BRONXDALE                ","01  ONE FAMILY DWELLINGS                    ","1",4561,12,NA,"A9","2914 TENBROECK AVE                       ","            ",10469,1,0,1,5000,722,1930,1,"A9","$ 330,000","2015-07-31",330000,722,5000,0
