"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"6030",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15571,65,NA,"A1","8-03 DORIAN COURT"," ",11691," 1 "," -   "," 1 "," 5,550 "," 2,400 ",1955,1,"A1"," $910,000 ","4/5/2016",910000,2400,5550,0
"6031",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15572,75,NA,"A1","12-04 CAFFREY AVENUE"," ",11691," 1 "," -   "," 1 "," 4,257 "," 2,016 ",1920,1,"A1"," $720,000 ","6/23/2016",720000,2016,4257,0
"6032",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15578,16,NA,"A1","729 ELVIRA AVENUE"," ",11691," 1 "," -   "," 1 "," 4,075 "," 1,920 ",1930,1,"A1"," $871,000 ","7/14/2016",871000,1920,4075,0
"6036",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15588,33,NA,"A2","525 READS LANE"," ",11691," 1 "," -   "," 1 "," 7,100 "," 3,472 ",1965,1,"A2"," $955,000 ","8/17/2016",955000,3472,7100,0
"6037",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15588,64,NA,"A1","5-20 HICKSVILLE ROAD"," ",11691," 1 "," -   "," 1 "," 4,872 "," 1,776 ",1965,1,"A1"," $765,000 ","11/10/2016",765000,1776,4872,0
"6038",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15588,68,NA,"A1","6-10 HICKSVILLE ROAD"," ",11691," 1 "," -   "," 1 "," 6,076 "," 1,590 ",1960,1,"A1"," $850,000 ","12/14/2016",850000,1590,6076,0
"6042",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15593,17,NA,"A1","473 BEACH 6TH"," ",11691," 1 "," -   "," 1 "," 4,102 "," 2,496 ",1986,1,"A1"," $800,000 ","5/24/2016",8e+05,2496,4102,0
"6043",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15598,586,NA,"A5","816 LANETT AVENUE"," ",11691," 1 "," -   "," 1 "," 2,185 "," 1,288 ",1925,1,"A5"," $600,000 ","2/17/2016",6e+05,1288,2185,0
"6044",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15599,663,NA,"A2","4 JARVIS COURT"," ",11691," 1 "," -   "," 1 "," 1,827 "," 1,056 ",1935,1,"A2"," $275,000 ","11/17/2016",275000,1056,1827,0
"6045",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    "," ",15600,410,NA," ","818 JARVIS AVENUE"," ",11691," -   "," -   "," -   "," -   "," -   ",0,1,"A5"," $895,070 ","12/28/2016",895070,NA,NA,0
"6046",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15602,124,NA,"A5","223 BEACH 3RD STREET"," ",11691," 1 "," -   "," 1 "," 1,563 "," 3,000 ",2004,1,"A5"," $575,000 ","11/22/2016",575000,3000,1563,0
"6047",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15613,67,NA,"A9","396 BEACH 12 STREET"," ",11691," 1 "," -   "," 1 "," 2,502 "," 2,700 ",2005,1,"A9"," $690,000 ","8/15/2016",690000,2700,2502,0
"6048",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15615,105,NA,"A5","338 BEACH 12 STREET"," ",11691," 1 "," -   "," 1 "," 2,250 "," 928 ",1935,1,"A5"," $380,000 ","2/11/2016",380000,928,2250,0
"6051",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15622,9,NA,"A2","1355 CAFFREY AVE"," ",11691," 1 "," -   "," 1 "," 4,000 "," 1,890 ",1925,1,"A2"," $225,500 ","2/23/2016",225500,1890,4000,0
"6052",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15622,14,NA,"A5","13-61 DAVIES ROAD"," ",11691," 1 "," -   "," 1 "," 1,725 "," 2,116 ",2012,1,"A5"," $636,406 ","2/8/2016",636406,2116,1725,0
"6053",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15622,17,NA,"A5","20 DAVIES ROAD"," ",11691," 1 "," -   "," 1 "," 1,688 "," 1,479 ",1960,1,"A5"," $335,000 ","8/22/2016",335000,1479,1688,0
"6054",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15622,67,NA,"A5","13-23 DAVIES ROAD"," ",11691," 1 "," -   "," 1 "," 2,242 "," 1,224 ",1960,1,"A5"," $386,250 ","7/18/2016",386250,1224,2242,0
"6060",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15627,36,NA,"A1","229 BEACH 14 STREET"," ",11691," 1 "," -   "," 1 "," 11,250 "," 2,051 ",1925,1,"A1"," $950,000 ","9/22/2016",950000,2051,11250,0
"6061",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15627,36,NA,"A1","2-29 BEACH 14 STREET"," ",11691," 1 "," -   "," 1 "," 11,250 "," 2,051 ",1925,1,"A1"," $700,000 ","2/25/2016",7e+05,2051,11250,0
"6062",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15654,14,NA,"A2","14-20 MCBRIDE STREET"," ",11691," 1 "," -   "," 1 "," 3,232 "," 1,484 ",1955,1,"A2"," $375,000 ","3/4/2016",375000,1484,3232,0
"6063",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15657,48,NA,"A1","14-35 PEARL STREET"," ",11691," 1 "," -   "," 1 "," 2,000 "," 1,296 ",1910,1,"A1"," $243,224 ","8/19/2016",243224,1296,2000,0
"6064",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15661,23,NA,"A9","1312 MCBRIDE STREET"," ",11691," 1 "," -   "," 1 "," 2,676 "," 1,616 ",1920,1,"A9"," $150,000 ","9/16/2016",150000,1616,2676,0
"6066",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15663,88,NA,"A1","13-63 MC BRIDE STREET"," ",11691," 1 "," -   "," 1 "," 6,876 "," 2,340 ",1915,1,"A1"," $210,000 ","3/24/2016",210000,2340,6876,0
"6067",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15663,104,NA,"A1","13-35 MC BRIDE STREET"," ",11691," 1 "," -   "," 1 "," 3,581 "," 1,152 ",1910,1,"A1"," $180,000 ","5/25/2016",180000,1152,3581,0
"6068",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15665,51,NA,"A1","13-76 DICKENS STREET"," ",11691," 1 "," -   "," 1 "," 3,600 "," 1,565 ",1925,1,"A1"," $353,000 ","5/31/2016",353000,1565,3600,0
"6069",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15670,12,NA,"A2","23-80 MOTT AVENUE"," ",11691," 1 "," -   "," 1 "," 7,700 "," 1,683 ",1940,1,"A2"," $402,000 ","4/4/2016",402000,1683,7700,0
"6070",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15681,5,NA,"A2","25-42 MOTT AVENUE"," ",11691," 1 "," -   "," 1 "," 8,160 "," 1,144 ",1960,1,"A2"," $372,000 ","2/10/2016",372000,1144,8160,0
"6071",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15682,50,NA,"A2","14-86 GRANADA PLACE"," ",11691," 1 "," -   "," 1 "," 6,875 "," 1,495 ",1950,1,"A2"," $690,000 ","8/23/2016",690000,1495,6875,0
"6073",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15683,30,NA,"A1","28-65 FABER TERRACE"," ",11691," 1 "," -   "," 1 "," 7,356 "," 1,858 ",1930,1,"A1"," $260,000 ","3/10/2016",260000,1858,7356,0
"6074",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15683,65,NA,"A3","14-43 GRANADA PLACE"," ",11691," 1 "," -   "," 1 "," 8,103 "," 3,040 ",1925,1,"A3"," $452,500 ","9/27/2016",452500,3040,8103,0
"6075",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15684,10,NA,"A1","29-28 MOTT AVENUE"," ",11691," 1 "," -   "," 1 "," 8,375 "," 2,088 ",1915,1,"A1"," $426,400 ","6/22/2016",426400,2088,8375,0
"6076",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15686,53,NA,"A5","32-08 BAYWATER COURT"," ",11691," 1 "," -   "," 1 "," 1,800 "," 1,080 ",1930,1,"A5"," $144,000 ","9/14/2016",144000,1080,1800,0
"6077",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15686,53,NA,"A5","32-08 BAYWATER COURT"," ",11691," 1 "," -   "," 1 "," 1,800 "," 1,080 ",1930,1,"A5"," $385,000 ","1/31/2017",385000,1080,1800,0
"6078",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15687,52,NA,"A2","32-08 PLUNKETT"," ",11691," 1 "," -   "," 1 "," 4,000 "," 2,366 ",1970,1,"A2"," $270,738 ","5/11/2016",270738,2366,4000,0
"6079",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15687,54,NA,"A2","32-12 PLUNKETT AVENUE"," ",11691," 1 "," -   "," 1 "," 4,000 "," 2,366 ",1970,1,"A2"," $435,000 ","8/26/2016",435000,2366,4000,0
"6082",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15689,17,NA,"A2","32-36 MOTT AVENUE"," ",11691," 1 "," -   "," 1 "," 4,059 "," 2,100 ",1950,1,"A2"," $430,000 ","10/5/2016",430000,2100,4059,0
"6084",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15691,33,NA,"A1","24-07 MOTT AVENUE"," ",11691," 1 "," -   "," 1 "," 5,306 "," 2,666 ",1925,1,"A1"," $390,000 ","9/27/2016",390000,2666,5306,0
"6085",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15695,31,NA,"A2","29-17 MOTT AVENUE"," ",11691," 1 "," -   "," 1 "," 4,802 "," 2,296 ",1955,1,"A2"," $300,000 ","8/23/2016",3e+05,2296,4802,0
"6086",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15696,15,NA,"A1","13-28 TRIST PLACE"," ",11691," 1 "," -   "," 1 "," 2,906 "," 1,400 ",1960,1,"A1"," $445,000 ","9/23/2016",445000,1400,2906,0
"6087",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15697,38,NA,"A1","29-29 WESTBOURNE AVENUE"," ",11691," 1 "," -   "," 1 "," 4,186 "," 1,950 ",2001,1,"A1"," $440,000 ","2/5/2016",440000,1950,4186,0
"6088",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15703,74,NA,"A2","33-39 BAY COURT"," ",11691," 1 "," -   "," 1 "," 5,433 "," 2,093 ",1960,1,"A2"," $120,000 ","10/28/2016",120000,2093,5433,0
"6089",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15710,11,NA,"A1","11-06 GRASSMERE TERRACE"," ",11691," 1 "," -   "," 1 "," 2,616 "," 2,425 ",1930,1,"A1"," $167,000 ","4/21/2016",167000,2425,2616,0
"6091",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15716,10,NA,"A1","2330 HEALY AVENUE"," ",11691," 1 "," -   "," 1 "," 6,875 "," 1,530 ",1930,1,"A1"," $384,000 ","4/18/2016",384000,1530,6875,0
"6092",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15717,54,NA,"A1","1110 DICKENS STREET"," ",11691," 1 "," -   "," 1 "," 5,837 "," 1,383 ",1920,1,"A1"," $385,000 ","8/4/2016",385000,1383,5837,0
"6093",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15719,62,NA,"A1","1121 BAY 24 STREET"," ",11691," 1 "," -   "," 1 "," 10,689 "," 2,085 ",1910,1,"A1"," $245,000 ","6/30/2016",245000,2085,10689,0
"6094",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15721,68,NA,"A1","2728 TAMMY DRIVE"," ",11691," 1 "," -   "," 1 "," 3,860 "," 2,194 ",2005,1,"A1"," $402,000 ","4/20/2016",402000,2194,3860,0
"6095",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15724,47,NA,"A3","1214 NORTON DR"," ",11691," 1 "," -   "," 1 "," 5,300 "," 2,866 ",1970,1,"A3"," $450,000 ","5/9/2016",450000,2866,5300,0
"6096",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15724,59,NA,"A2","12-44 NORTON DRIVE"," ",11691," 1 "," -   "," 1 "," 8,200 "," 1,260 ",1970,1,"A2"," $675,000 ","9/2/2016",675000,1260,8200,0
"6097",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15725,16,NA,"A0","29-09 COLDSPRING ROAD"," ",11691," 1 "," -   "," 1 "," 7,689 "," 1,712 ",1945,1,"A0"," $410,000 ","3/28/2016",410000,1712,7689,0
"6098",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15728,156,NA,"A1","BAY 32ND   STREET"," ",0," 1 "," -   "," 1 "," 18,193 "," 10,000 ",1994,1,"A1"," $200,000 ","4/21/2016",2e+05,10000,18193,0
"6099",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15731,89,NA,"A1","1042 BAY 24TH"," ",11691," 1 "," -   "," 1 "," 6,073 "," 2,268 ",1987,1,"A1"," $510,000 ","3/15/2016",510000,2268,6073,0
"6100",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15733,34,NA,"A0","23-89 CORNAGA AVENUE"," ",11691," 1 "," -   "," 1 "," 5,224 "," 1,163 ",1945,1,"A0"," $356,000 ","7/1/2016",356000,1163,5224,0
"6101",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15733,64,NA,"A0","24-16 OCEAN CREST BLVD"," ",11691," 1 "," -   "," 1 "," 6,504 "," 1,382 ",1955,1,"A0"," $450,000 ","5/25/2016",450000,1382,6504,0
"6102",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15735,59,NA,"A2","25-38 CORNAGA AVENUE"," ",11691," 1 "," -   "," 1 "," 4,927 "," 1,990 ",1930,1,"A2"," $430,000 ","7/8/2016",430000,1990,4927,0
"6103",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15735,68,NA,"A1","25-65 CORNAGA AVENUE"," ",11691," 1 "," -   "," 1 "," 4,149 "," 1,360 ",1935,1,"A1"," $183,016 ","11/7/2016",183016,1360,4149,0
"6105",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15752,25,NA,"A5","22-48 NEW HAVEN AVENUE"," ",11691," 1 "," -   "," 1 "," 3,496 "," 924 ",1960,1,"A5"," $330,000 ","6/14/2016",330000,924,3496,0
"6106",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15760,3,NA,"A1","506 BEACH 21"," ",11691," 1 "," -   "," 1 "," 6,450 "," 1,799 ",1920,1,"A1"," $240,000 ","8/12/2016",240000,1799,6450,0
"6107",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15772,10,NA,"A0","530 GRASSMERE TERRACE"," ",11691," 1 "," -   "," 1 "," 5,328 "," 1,218 ",1945,1,"A0"," $355,000 ","7/6/2016",355000,1218,5328,0
"6108",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15772,98,NA,"A2","5-18 HANSON COURT"," ",11691," 1 "," -   "," 1 "," 3,253 "," 2,594 ",1920,1,"A2"," $653,589 ","9/16/2016",653589,2594,3253,0
"6109",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15774,89,NA,"A1","24-04 DEERFIELD ROAD"," ",11691," 1 "," -   "," 1 "," 4,278 "," 1,518 ",1920,1,"A1"," $187,425 ","2/26/2016",187425,1518,4278,0
"6110",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15776,10,NA,"A1","2429 DEERFIELD ROAD"," ",11691," 1 "," -   "," 1 "," 5,442 "," 1,680 ",1940,1,"A1"," $315,000 ","4/28/2016",315000,1680,5442,0
"6112",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15802,28,NA,"A1","218 BEACH 27 STREET"," ",11691," 1 "," -   "," 1 "," 2,920 "," 437 ",1925,1,"A1"," $290,000 ","8/12/2016",290000,437,2920,0
"6115",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15806,224,NA,"A4","30-14 SEAGIRT AVE"," ",11691," 1 "," -   "," 1 "," 586 "," 1,197 ",2008,1,"A4"," $148,800 ","4/7/2016",148800,1197,586,0
"6116",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15815,35,NA,"A6","173 BEACH 24 STREET"," ",11691," 1 "," -   "," 1 "," 1,225 "," 525 ",1930,1,"A6"," $140,000 ","2/24/2016",140000,525,1225,0
"6120",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15815,165,NA,"A6","176A BEACH 24 STREET"," ",11691," 1 "," -   "," 1 "," 1,675 "," 525 ",1930,1,"A6"," $210,000 ","5/5/2016",210000,525,1675,0
"6121",4,"FAR ROCKAWAY","01 ONE FAMILY DWELLINGS                    ","1",15819,63,NA,"A1","149 BEACH 27 STREET"," ",11691," 1 "," -   "," 1 "," 2,040 "," 920 ",1920,1,"A1"," $250,000 ","7/18/2016",250000,920,2040,0
"6122",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15505,35,NA,"B2","13-37 VIRGINIA STREET"," ",11691," 2 "," -   "," 2 "," 4,375 "," 1,840 ",1940,1,"B2"," $749,000 ","9/2/2016",749000,1840,4375,0
"6125",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15533,21,NA,"B3","12-41 AUGUSTINA AVENUE"," ",11691," 2 "," -   "," 2 "," 3,029 "," 2,076 ",1920,1,"B3"," $350,844 ","4/13/2016",350844,2076,3029,0
"6127",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15534,12,NA,"B1","13-25 BRUNSWICK AVENUE"," ",11691," 2 "," -   "," 2 "," 2,838 "," 1,980 ",2005,1,"B2"," $445,000 ","10/28/2016",445000,1980,2838,0
"6128",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15537,53,NA,"B3","17-21 REDFERN AVENUE"," ",11691," 2 "," -   "," 2 "," 3,143 "," 1,407 ",1925,1,"B3"," $370,000 ","6/28/2016",370000,1407,3143,0
"6129",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15537,53,NA,"B3","17-21 REDFERN AVENUE"," ",11691," 2 "," -   "," 2 "," 3,143 "," 1,407 ",1925,1,"B3"," $170,000 ","3/3/2016",170000,1407,3143,0
"6130",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15537,56,NA,"B3","17-15 REDFERN AVENUE"," ",11691," 2 "," -   "," 2 "," 2,591 "," 1,594 ",1925,1,"B3"," $425,000 ","12/19/2016",425000,1594,2591,0
"6131",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15542,7,NA,"B2","11-14 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 3,000 "," 2,082 ",2009,1,"B2"," $450,000 ","8/4/2016",450000,2082,3000,0
"6132",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15542,10,NA,"B1","11-20 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 4,650 "," 2,112 ",2007,1,"B2"," $675,000 ","8/4/2016",675000,2112,4650,0
"6133",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15542,10,NA,"B1","11-20 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 4,650 "," 2,112 ",2007,1,"B1"," $640,000 ","2/16/2016",640000,2112,4650,0
"6134",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15542,17,NA,"B3","11-36 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 17,500 "," 3,971 ",1930,1,"B3"," $580,000 ","8/26/2016",580000,3971,17500,0
"6135",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15542,107,NA,"B2","11-16 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 2,500 "," 3,042 ",2009,1,"B2"," $499,000 ","8/4/2016",499000,3042,2500,0
"6137",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15542,111,NA,"B1","11-22 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 3,900 "," 2,112 ",2007,1,"B2"," $470,000 ","8/4/2016",470000,2112,3900,0
"6138",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15542,211,NA,"B1","11-24 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 4,575 "," 2,478 ",2007,1,"B2"," $520,000 ","8/4/2016",520000,2478,4575,0
"6139",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15543,26,NA,"B3","11-46 NAMEOKE STREET"," ",11691," 2 "," -   "," 2 "," 5,250 "," 3,165 ",1920,1,"B3"," $620,000 ","1/4/2017",620000,3165,5250,0
"6141",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15543,67,NA,"B1","11-39 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 6,437 "," 3,000 ",2008,1,"B1"," $600,000 ","2/16/2016",6e+05,3000,6437,0
"6142",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15543,167,NA,"B1","11-43 NEILSON STREET"," ",11691," 2 "," -   "," 2 "," 4,500 "," 2,976 ",2008,1,"B1"," $600,000 ","2/16/2016",6e+05,2976,4500,0
"6143",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15551,70,NA,"B1","774 EMPIRE AVENUE"," ",11691," 2 "," -   "," 2 "," 3,344 "," 2,700 ",1930,1,"B1"," $685,000 ","1/25/2017",685000,2700,3344,0
"6144",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15551,74,NA,"B1","784 EMPIRE AVENUE"," ",11691," 2 "," -   "," 2 "," 3,317 "," 2,700 ",1930,1,"B1"," $499,000 ","4/18/2016",499000,2700,3317,0
"6148",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15561,47,NA,"B2","10-21 BEACH 19TH STREET"," ",11691," 2 "," -   "," 2 "," 2,865 "," 2,140 ",2005,1,"B2"," $445,000 ","11/7/2016",445000,2140,2865,0
"6150",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15574,4,NA,"B1","14-65 GATEWAY BLVD"," ",11691," 2 "," -   "," 2 "," 2,865 "," 2,200 ",2005,1,"B1"," $400,000 ","10/7/2016",4e+05,2200,2865,0
"6152",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15595,38,NA,"B2","608 SEAGIRT BOULEVARD"," ",11691," 2 "," -   "," 2 "," 3,093 "," 2,000 ",1950,1,"B2"," $640,000 ","12/28/2016",640000,2000,3093,0
"6153",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15595,44,NA,"B2","6-16 SEAGIRT AVENUE"," ",11691," 2 "," -   "," 2 "," 3,257 "," 2,000 ",1950,1,"B2"," $750,000 ","12/1/2016",750000,2000,3257,0
"6154",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15595,46,NA,"B2","6-20 SEAGIRT BOULEVARD"," ",11691," 2 "," -   "," 2 "," 3,257 "," 2,000 ",1950,1,"B2"," $550,000 ","4/6/2016",550000,2000,3257,0
"6155",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15596,27,NA,"B2","710 LANETT AVENUE"," ",11691," 2 "," -   "," 2 "," 4,158 "," 2,160 ",1997,1,"B2"," $595,000 ","9/29/2016",595000,2160,4158,0
"6156",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15596,59,NA,"B2","643 HICKSVILLE ROAD"," ",11691," 2 "," -   "," 2 "," 4,600 "," 2,392 ",1965,1,"B2"," $825,000 ","6/24/2016",825000,2392,4600,0
"6157",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15598,579,NA,"B3","800 LANETT AVENUE"," ",11691," 2 "," -   "," 2 "," 1,995 "," 1,600 ",1925,1,"B3"," $566,000 ","12/15/2016",566000,1600,1995,0
"6158",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15598,580,NA,"B3","802 LANETT AVE"," ",11691," 2 "," -   "," 2 "," 1,995 "," 1,600 ",1925,1,"B3"," $576,000 ","9/22/2016",576000,1600,1995,0
"6159",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15607,8,NA,"B3","3-01 SEAGIRT AVENUE"," ",11691," 2 "," -   "," 2 "," 1,729 "," 1,938 ",1920,1,"B3"," $140,000 ","4/14/2016",140000,1938,1729,0
"6160",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15614,57,NA,"B3","12-06 PLAINVIEW AVENUE"," ",11691," 2 "," -   "," 2 "," 1,950 "," 1,488 ",1940,1,"B3"," $315,000 ","3/22/2016",315000,1488,1950,0
"6161",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15614,59,NA,"B3","12-10 PLAINVIEW AVENUE"," ",11691," 2 "," -   "," 2 "," 1,950 "," 1,116 ",1940,1,"B3"," $270,000 ","3/2/2016",270000,1116,1950,0
"6162",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15614,60,NA,"B3","12-12 PLAINVIEW AVENUE"," ",11691," 2 "," -   "," 2 "," 1,950 "," 1,488 ",1940,1,"B3"," $385,000 ","12/12/2016",385000,1488,1950,0
"6165",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15627,40,NA,"B2","217 BEACH 14TH STREET"," ",11691," 2 "," -   "," 2 "," 4,125 "," 2,450 ",1955,1,"B2"," $249,999 ","11/23/2016",249999,2450,4125,0
"6166",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15633,5,NA,"B2","1712 PLAINVIEW AVENUE"," ",11691," 2 "," -   "," 2 "," 4,618 "," 1,395 ",1945,1,"B2"," $775,000 ","10/27/2016",775000,1395,4618,0
"6170",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15652,30,NA,"B1","14-29 PINSON STREET"," ",11691," 2 "," -   "," 2 "," 3,520 "," 2,420 ",2006,1,"B1"," $410,970 ","7/20/2016",410970,2420,3520,0
"6171",4,"FAR ROCKAWAY","02 TWO FAMILY DWELLINGS                    ","1",15654,22,NA,"B2","2263 BATTERY ROAD"," ",11691," 2 "," -   "," 2 "," 2,831 "," 2,508 ",2002,1,"B2"," $239,000 ","5/26/2016",239000,2508,2831,0
